
Test set: Average loss: 7.548961, Accuracy: 9.910000 

Train Epoch: 1	[22400/50000 (45%)]	Loss: 0.226007	Accuracy: 35.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[22600/50000 (45%)]	Loss: 0.217030	Accuracy: 60.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[22800/50000 (46%)]	Loss: 0.206724	Accuracy: 60.000000	Time 0.298 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[23000/50000 (46%)]	Loss: 0.256098	Accuracy: 20.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[23200/50000 (46%)]	Loss: 0.288651	Accuracy: 40.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[23400/50000 (47%)]	Loss: 0.119970	Accuracy: 65.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[23600/50000 (47%)]	Loss: 0.163271	Accuracy: 55.000000	Time 0.298 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[23800/50000 (48%)]	Loss: 0.284326	Accuracy: 40.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[24000/50000 (48%)]	Loss: 0.275802	Accuracy: 40.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[24200/50000 (48%)]	Loss: 0.185806	Accuracy: 50.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[24400/50000 (49%)]	Loss: 0.199369	Accuracy: 45.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[24600/50000 (49%)]	Loss: 0.258669	Accuracy: 50.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[24800/50000 (50%)]	Loss: 0.271372	Accuracy: 35.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[25000/50000 (50%)]	Loss: 0.216571	Accuracy: 40.000000	Time 0.298 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[25200/50000 (50%)]	Loss: 0.264557	Accuracy: 40.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[25400/50000 (51%)]	Loss: 0.320369	Accuracy: 40.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[25600/50000 (51%)]	Loss: 0.344661	Accuracy: 30.000000	Time 0.298 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[25800/50000 (52%)]	Loss: 0.198641	Accuracy: 55.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[26000/50000 (52%)]	Loss: 0.163939	Accuracy: 60.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[26200/50000 (52%)]	Loss: 0.325910	Accuracy: 35.000000	Time 0.298 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[26400/50000 (53%)]	Loss: 0.235972	Accuracy: 35.000000	Time 0.298 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[26600/50000 (53%)]	Loss: 0.272260	Accuracy: 25.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[26800/50000 (54%)]	Loss: 0.248333	Accuracy: 40.000000	Time 0.298 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[27000/50000 (54%)]	Loss: 0.268133	Accuracy: 20.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
